구역,이름,구글맵링크,좌표,비고
대구,걸리버막창,https://maps.app.goo.gl/RzvThFxacSqE8Ep3A,"35.88667165713738, 128.5806714937436", "유명한 막창집"
대구,고굽남,https://maps.app.goo.gl/efHfZL7VPvRJUAcf7,"35.87538923873759, 128.58852587497444", "고깃집"
대구,만재네,https://maps.app.goo.gl/pnpUDRV57N4Wzop97,"35.869463290797576, 128.59224989522627", "고깃집"
대구,고성생고기,https://place.map.kakao.com/1459578727,"35.883696317198435, 128.5847664835896", "뭉티기 먹을거면 추천"
대구,만복국수집,https://maps.app.goo.gl/2k2PdoMKqMF15uWo6,"35.88616888160393, 128.585102497735", "소주 한잔 땡기기 괜찮음"
대구,선산곱창,https://maps.app.goo.gl/71evT7oVr988vTkQ7,"35.84228339116505, 128.53192667086256", ""
대구,자박갈비,https://maps.app.goo.gl/7bNQvfGE1uMx1k9a7,"35.8267065392697, 128.5217045943888", ""
대전,김화칼국수,https://maps.app.goo.gl/dD4542UPMw51JxpYA,"36.33221976391748, 127.43107472778787", ""
대전,개천식당,https://maps.app.goo.gl/fqDhrW4qedGTw6u7A,"36.32876037274542, 127.43154605291619", ""
대전,별난집,https://maps.app.goo.gl/cFg9BQzzjXYFbt1D9,"36.33110462351886, 127.43061023757119", ""
대전,진로집,https://maps.app.goo.gl/kyDYf8PcMBdoq92k7,"36.326042035875545, 127.42470348360625", ""
요코하마,シシリヤ,https://maps.app.goo.gl/WEPKUes2zSNrBQJTA,"35.44637230253761, 139.63921355288306", "피자집. 마르게리타 추천"
요코하마,伸喜,https://maps.app.goo.gl/diKYGYBwUmNnmMA89,"35.448208235494015, 139.6294384547369", "야키토리"
요코하마,アルペンジロー,https://maps.app.goo.gl/ypi5cakRMhMwSptE9,"35.43969760658018, 139.62855100870132", "스프카레"
요코하마,とんかつ 檍,https://maps.app.goo.gl/mUj2b2LXbwtH5Wmb6,"35.44898835687958, 139.6354817922334", "돈카츠"
요코하마,Kikuya Curry,https://maps.app.goo.gl/qukhxxetLxaABdVA8,"35.44866789498514, 139.62707284124585", "카슈미르카레"
서면,기장손칼국수,https://maps.app.goo.gl/qU4xgwBcmFQ3qurm9,"35.155685024277545, 129.058342441235", ""
요코하마,레오나드,https://maps.app.goo.gl/dg7R9biiZxFtTC3i6,"35.4539904002934, 139.639182539392", "도넛 간식. 하와이랑 요코하마에만 있음. 커스타드 필링 추천"
서울,동서울칼국수,https://maps.app.goo.gl/TtXJ9FoVNVSJGJCG8,"37.5340293745322, 127.09132655481646", "강변 도보 10분"
대구,윤소인남산고단백장어죽집,https://maps.app.goo.gl/igGcA3aYknqLdz8R7,"35.877067512744304, 128.59560557086255", "제육덮밥 6천원인데 왕돈까스 그릇에 담아줌. GOAT"
요코하마,키친 조,https://maps.app.goo.gl/ZVgEQmRvxUd5r6RX8,"35.45116078875737, 139.63086035473722", "나폴리탄 스파게티 치킨 커틀렛 토핑 추천"
대전,후지산,https://maps.app.goo.gl/jkMkZu5rCBaLMiRn9,"36.352512939102624, 127.38877533942572", "회전초밥"
대전,걸작떡볶이,https://maps.app.goo.gl/n2h7kkrAVJ4eMqfb7,"36.337156651390046, 127.41922104681154", ""
대전,틈새라면,https://maps.app.goo.gl/iCD3UYi4PKCBw57P8,"36.33548312406187, 127.44428357463178", ""
홍대,윤멘,https://maps.app.goo.gl/DPxheaUFCaq2oZAd9,"37.550370816623996, 126.90821368550728", "합정 위치"
홍대,소바하우스 멘야준,https://maps.app.goo.gl/LXWNEpQfcdKRy8N17,"37.55998893819787, 126.92257977030673", "연남 위치"
서면,나피라,https://maps.app.goo.gl/r65MKYea3Ao4Aoj89,"35.175361746357105, 129.0716191307827", ""
서면,대쿠이,https://maps.app.goo.gl/WbpGVazfSFZP8V1D7,"35.15242166539482, 129.06314485657995", ""
홍대,스미비부타동,https://maps.app.goo.gl/wwtXxY4KXwSun8wK9,"37.55179711812042, 126.9182150695722",부타동 마제소바
홍대,류진,https://maps.app.goo.gl/P58jfkqU9CAFk2bN7,"37.557090266898435, 126.90705704714854","지로라멘. 호불호 갈릴 수 있으니 사전조사 필요"
홍대,카와카츠,https://maps.app.goo.gl/EBmUySMxm2hENFNA6,"37.554827848262214, 126.91626698751578","돈까스 우동"
