구역,이름,구글맵링크,좌표,비고
용산,바스버거 신용산점,https://www.google.com/maps/search/?api=1&query=바스버거+신용산점&query_place_id=ChIJETG1VwCjfDURk3qsVk-Ezw4,"37.531304, 126.970998","부기"
용산,피피에스 신용산,https://www.google.com/maps/search/?api=1&query=PPS+신용산&query_place_id=ChIJaWFwxkyjfDURULh7PPDipZk,"37.531451, 126.972050","부기"
용산,쉐이크쉑 용산 아이파크몰점,https://www.google.com/maps/search/?api=1&query=쉐이크쉑+용산+아이파크몰점&query_place_id=ChIJhTM-JWyjfDUR-c-Ka1QDMa4,"37.529656, 126.966032","부기. 솔직히 맛있긴 하지만 난 비싸고 양 적어서 안 먹긴 함 ㅇㅅㅇ"
용산,파이브가이즈 용산,https://www.google.com/maps/search/?api=1&query=파이브가이즈+용산&query_place_id=ChIJO703JwCjfDURsLVfZJ0RjOE,"37.528760, 126.964308","부기. 감튀 맛집"
용산,니뽕내뽕 용산아이파크몰점,https://www.google.com/maps/search/?api=1&query=니뽕내뽕+용산아이파크몰점&query_place_id=ChIJl6vLGwCjfURLVAaU2-nhfI,"37.529713, 126.964753","퓨전? 중식"
용산,라공방 용산아이파크몰점,https://www.google.com/maps/search/?api=1&query=라공방+용산아이파크몰점&query_place_id=ChIJfx-bRwOifDURf_8x4Tg0QDM,"37.528854, 126.964045","마라탕. 근데 여까지 와서 마라탕 먹는 방빙이가 있긴 할까ㅋㅋ"
용산,콘타이 아모레퍼시픽점,https://www.google.com/maps/search/?api=1&query=콘타이+용산&query_place_id=ChIJjVVPtAKifDURmN-SiyKPksY,"37.528913, 126.968399","쌀국시"
용산,차알 브라운,https://www.google.com/maps/search/?api=1&query=차알브라운+용산&query_place_id=ChIJd8RThkCjfDUR30w9PuBTkhA,"37.528845, 126.968602","중식"
용산,금홍,https://www.google.com/maps/search/?api=1&query=금홍+용산&query_place_id=ChIJNx3wL-yjfDURTFuVvXFhB6M,"37.525896, 126.967658","중식"
용산,중화가정 용산역점,https://www.google.com/maps/search/?api=1&query=중화가정+용산역점&query_place_id=ChIJeeGLjOOjfDUR214fOmOfMQM,"37.530370, 126.967327","중식"
용산,중화객잔 수,https://www.google.com/maps/search/?api=1&query=중화객잔수+용산&query_place_id=ChIJMUXWOfWjfDURJQuWM0inrvY,"37.531521, 126.971823","중식"
용산,혼고집 용산아이파크몰점,https://maps.app.goo.gl/SsdsaNAHPUQdZafz6,"37.529710122868266, 126.96421034084094",방붕 추천 맛집
홍대,혼고집 본점,https://maps.app.goo.gl/nzwNHGLXjPEqYFvCA,"37.56080986509614, 126.9244919157825",방붕 추천 맛집
